Entity,Code,Year,Deaths
Afghanistan,AFG,2022,779
Albania,ALB,2022,18
Algeria,DZA,2022,393
Angola,AGO,2022,13078
Argentina,ARG,2022,1294
Armenia,ARM,2022,76
Asia and the Pacific (UNAIDS),,2022,150349
Azerbaijan,AZE,2022,75
Bangladesh,BGD,2022,599
Barbados,BRB,2022,54
Belarus,BLR,2022,310
Belgium,BEL,2022,48
Belize,BLZ,2022,103
Benin,BEN,2022,1851
Bhutan,BTN,2022,32
Bolivia,BOL,2022,678
Botswana,BWA,2022,3823
Brazil,BRA,2022,12869
Bulgaria,BGR,2022,44
Burkina Faso,BFA,2022,2582
Burundi,BDI,2022,1257
Cambodia,KHM,2022,1112
Cameroon,CMR,2022,10198
Cape Verde,CPV,2022,59
Caribbean (UNAIDS),,2022,5562
Central African Republic,CAF,2022,4452
Chad,TCD,2022,2750
Colombia,COL,2022,1512
Comoros,COM,2022,2
Congo,COG,2022,7695
Costa Rica,CRI,2022,154
Cote d'Ivoire,CIV,2022,9952
Croatia,HRV,2022,6
Cuba,CUB,2022,421
Czechia,CZE,2022,15
Democratic Republic of Congo,COD,2022,11921
Denmark,DNK,2022,26
Dominican Republic,DOM,2022,1542
East Timor,TLS,2022,31
East and Southern Africa (UNAIDS),,2022,255099
Eastern Europe and Central Asia (UNAIDS),,2022,47799
Ecuador,ECU,2022,370
Egypt,EGY,2022,516
El Salvador,SLV,2022,390
Equatorial Guinea,GNQ,2022,2789
Eritrea,ERI,2022,305
Estonia,EST,2022,49
Eswatini,SWZ,2022,2713
Ethiopia,ETH,2022,11322
"Ethiopia, Addis Adaba",,2022,1594
"Ethiopia, Afar",,2022,463
"Ethiopia, Amhara",,2022,2210
"Ethiopia, Benishangul Gumuz",,2022,143
"Ethiopia, Dire Dawa",,2022,307
"Ethiopia, Gambella",,2022,396
"Ethiopia, Harari",,2022,55
"Ethiopia, Oromia",,2022,3168
"Ethiopia, SNNPR",,2022,1093
"Ethiopia, Sidama",,2022,959
"Ethiopia, Somali",,2022,417
"Ethiopia, Tigray",,2022,517
Fiji,FJI,2022,54
France,FRA,2022,875
Gabon,GAB,2022,1759
Gambia,GMB,2022,1388
Georgia,GEO,2022,74
Ghana,GHA,2022,9359
Greece,GRC,2022,63
Grenada,GRD,2022,15
Guatemala,GTM,2022,474
Guinea,GIN,2022,3546
Guinea-Bissau,GNB,2022,1183
Guyana,GUY,2022,122
Haiti,HTI,2022,1613
Honduras,HND,2022,539
Iceland,ISL,2022,0.91359
India,IND,2022,39627
Indonesia,IDN,2022,25719
Iran,IRN,2022,2346
Iraq,IRQ,2022,109
Italy,ITA,2022,547
Jamaica,JAM,2022,1085
Jordan,JOR,2022,19
Kenya,KEN,2022,18474
"Kenya, Central",,2022,1319
"Kenya, Coast",,2022,1681
"Kenya, Eastern",,2022,1887
"Kenya, Nairobi",,2022,1052
"Kenya, North Eastern",,2022,199
"Kenya, Nyanza",,2022,5032
"Kenya, Rift Valley",,2022,5331
"Kenya, Western",,2022,1973
Kuwait,KWT,2022,9
Kyrgyzstan,KGZ,2022,165
Laos,LAO,2022,360
Latin America (UNAIDS),,2022,27372
Latvia,LVA,2022,136
Lebanon,LBN,2022,40
Lesotho,LSO,2022,4022
Liberia,LBR,2022,924
Libya,LBY,2022,84
Lithuania,LTU,2022,74
Luxembourg,LUX,2022,4
Madagascar,MDG,2022,3243
Malawi,MWI,2022,11931
Malaysia,MYS,2022,2535
Maldives,MDV,2022,1
Mali,MLI,2022,4882
Malta,MLT,2022,3
Mauritania,MRT,2022,382
Mexico,MEX,2022,4643
Middle East and North Africa (UNAIDS),,2022,5341
Moldova,MDA,2022,471
Mongolia,MNG,2022,24
Montenegro,MNE,2022,2
Morocco,MAR,2022,365
Mozambique,MOZ,2022,48154
Myanmar,MMR,2022,6399
Namibia,NAM,2022,3081
Nepal,NPL,2022,336
New Zealand,NZL,2022,12
Nicaragua,NIC,2022,279
Niger,NER,2022,1114
North Macedonia,MKD,2022,5
Oman,OMN,2022,38
Pakistan,PAK,2022,11945
Panama,PAN,2022,572
Papua New Guinea,PNG,2022,1087
Paraguay,PRY,2022,346
Peru,PER,2022,967
Philippines,PHL,2022,1460
Portugal,PRT,2022,226
Qatar,QAT,2022,13
Romania,ROU,2022,174
Rwanda,RWA,2022,2664
Saint Kitts and Nevis,KNA,2022,5
Sao Tome and Principe,STP,2022,24
Saudi Arabia,SAU,2022,108
Senegal,SEN,2022,996
Serbia,SRB,2022,24
Sierra Leone,SLE,2022,2294
Slovakia,SVK,2022,3
South Africa,ZAF,2022,44513
South Sudan,SSD,2022,7553
Spain,ESP,2022,641
Sri Lanka,LKA,2022,70
Sudan,SDN,2022,1925
Suriname,SUR,2022,233
Syria,SYR,2022,15
Tajikistan,TJK,2022,154
Tanzania,TZA,2022,22294
Thailand,THA,2022,10972
Togo,TGO,2022,2439
Trinidad and Tobago,TTO,2022,309
Tunisia,TUN,2022,347
Uganda,UGA,2022,17466
United Arab Emirates,ARE,2022,23
Uruguay,URY,2022,173
Venezuela,VEN,2022,1541
Vietnam,VNM,2022,4068
West and Central Africa (UNAIDS),,2022,123379
Western & Central Europe and North America (UNAIDS),,2022,12645.914
World,OWID_WRL,2022,627546.94
Yemen,YEM,2022,321
Zambia,ZMB,2022,19242
Zimbabwe,ZWE,2022,20465
"Zimbabwe, Bulawayo",,2022,1084
"Zimbabwe, Harare",,2022,4925
"Zimbabwe, Manicaland",,2022,2053
"Zimbabwe, Mashonaland Central",,2022,1508
"Zimbabwe, Mashonaland East",,2022,1922
"Zimbabwe, Mashonaland West",,2022,1965
"Zimbabwe, Masvingo",,2022,1695
"Zimbabwe, Matabeleland North",,2022,1338
"Zimbabwe, Matabeleland South",,2022,1457
"Zimbabwe, Midlands",,2022,2518
